Elapsed time,phpBench
18:51:31.0,1688.0
18:51:32.0,1672.0
18:51:34.500,3440.5
18:51:36.0,4328.0
18:51:36.500,4493.0
18:51:37.0,4501.0
18:51:37.500,4037.0
18:51:40.500,6277.0
18:51:41.0,6671.0
18:51:41.500,6826.0
18:51:42.0,6652.0
18:51:45.0,9093.0
18:51:45.500,9134.0
18:51:47.500,10515.5
18:51:48.0,10541.5
18:51:49.0,10434.0
18:51:50.0,10900.0
18:51:51.500,11551.0
18:51:52.500,11938.0
18:51:55.500,14207.0
18:51:56.0,14650.0
18:51:56.500,14925.0
18:51:57.0,15242.0
18:51:57.500,14867.0
18:51:58.500,15171.0
18:52:00.0,15515.0
18:52:02.0,16763.0
18:52:02.500,17343.0
18:52:03.500,18278.0
18:52:04.0,18567.0
18:52:04.500,18721.0
18:52:06.500,19872.0
18:52:08.500,21192.0
18:52:12.0,24454.0
18:52:13.500,25549.0
18:52:14.0,26242.0
18:52:15.0,26414.0
18:52:16.0,27652.0
18:52:17.500,28393.0
18:52:20.500,31300.0
18:52:21.0,31082.0
18:52:22.500,32209.0
18:52:24.500,33267.0
18:52:26.0,33249.0
18:52:26.500,34516.0
18:52:27.0,33688.25
18:52:28.500,31213.0
18:52:29.500,34052.0
18:52:30.0,33472.0
18:52:31.0,32167.0
18:52:31.500,31887.0
18:52:32.0,29740.0
18:52:32.500,29762.0
18:52:33.0,35905.0
18:52:33.500,28003.0
18:52:34.0,27447.0
18:52:35.500,22285.333333333332
18:52:36.0,19893.333333333332
18:52:37.0,16174.0
18:52:37.500,15753.0
18:52:38.500,14344.0
18:52:40.0,13972.0
18:52:41.0,14478.0
18:52:41.500,14612.5
18:52:42.500,13549.0
18:52:43.500,13628.666666666666
18:52:44.0,13199.0
18:52:44.500,12908.0
18:52:45.500,13326.0
18:52:46.500,14031.0
18:52:47.0,14503.0
18:52:48.500,15596.0
18:52:49.500,16171.0
18:52:51.0,16998.5
18:52:52.500,17263.0
18:52:55.500,19991.0
18:52:57.500,21643.5
18:52:58.0,22135.5
18:52:59.0,22336.0
18:53:00.500,22867.0
18:53:01.0,23507.0
18:53:03.500,24691.0
18:53:05.500,25587.0
18:53:10.0,29016.0
18:53:12.0,30214.0
18:53:13.0,31385.0
18:53:13.500,31913.0
18:53:14.500,32133.0
18:53:16.500,33102.0
18:53:17.0,33221.0
18:53:18.500,33934.0
18:53:20.0,33153.0
18:53:21.0,35374.0
18:53:21.500,33479.0
18:53:23.0,34471.0
18:53:24.0,33777.0
18:53:24.500,33795.0
18:53:26.0,33284.0
18:53:27.500,31929.0
18:53:28.0,30613.0
18:53:28.500,29458.0
18:53:29.0,23483.0
18:53:29.500,23031.0
18:53:31.0,19232.0
18:53:34.0,20955.0
18:53:34.500,20689.0
18:53:37.0,20311.5
18:53:37.500,20747.0
18:53:38.0,19973.0
18:53:38.500,18307.0
18:53:39.0,18380.0
18:53:39.500,16688.0
18:53:40.0,18407.5
18:53:42.0,17176.0
18:53:44.0,16352.0
18:53:46.500,18490.0
18:53:48.500,20433.0
18:53:49.500,21111.5
18:53:50.0,21377.0
18:53:50.500,21519.666666666668
18:53:51.0,21190.0
18:53:52.0,20788.0
18:53:56.0,21897.0
18:53:57.0,22855.0
18:53:57.500,23008.0
18:53:58.0,23480.0
18:54:01.0,24321.0
18:54:02.500,25842.0
18:54:03.500,26239.0
18:54:04.0,25942.0
18:54:05.0,26837.5
18:54:05.500,26211.0
18:54:06.0,26224.0
18:54:07.0,26925.0
18:54:09.0,27011.333333333332
18:54:10.0,28270.0
18:54:11.500,27879.0
18:54:13.500,27381.0
18:54:15.500,27029.0
18:54:16.0,26684.0
18:54:17.0,27260.666666666668
18:54:17.500,27367.0
18:54:18.0,27434.0
18:54:18.500,26874.0
18:54:19.0,17911.0
18:54:19.500,23343.0
18:54:20.0,22540.0
18:54:21.500,18876.0
18:54:22.500,18927.0
18:54:23.0,19022.0
18:54:23.500,18656.0
18:54:24.500,19393.5
18:54:25.500,19484.5
18:54:26.0,18987.0
18:54:26.500,17752.0
18:54:27.0,16225.0
18:54:28.500,12654.5
18:54:31.0,13973.5
18:54:31.500,14054.0
18:54:32.500,14412.0
18:54:33.500,15592.0
18:54:34.0,15765.0
18:54:35.0,16323.0
18:54:36.0,16697.0
18:54:37.0,17368.0
18:54:37.500,17596.333333333332
18:54:38.0,16478.0
18:54:39.500,17003.0
18:54:40.0,17045.0
18:54:40.500,16871.0
18:54:42.0,17761.0
18:54:42.500,17988.0
18:54:45.0,19697.0
18:54:46.0,20271.0
18:54:47.500,21591.0
